"presence","x","y","cells","BO2_salinitymean_bdmax","BO2_tempmin_bdmax","BO2_tempmax_bdmax","BO2_temprange_bdmax","BO21_curvelmax_bdmax","BO_bathymax","BO_calcite","BO_chlomean","BO_ph","BO2_ppmean_bdmin","MS_biogeo06_bathy_slope_5m","MS_biogeo01_aspect_EW_5m","MS_bathy_5m","MS_biogeo05_dist_shore_5m","MS_biogeo02_aspect_NS_5m","Dist_City","Protected_Areas","bioclim_pred","domain_pred","maxent_pred","maxnet_pred","glm_pred","glm_fav","gam_pred","gam_fav","rf_pred","rf_fav","gbm_pred","gbm_fav","foldIDr"
0,178.541666666667,-16.9583333333333,1711,35.4173011779785,17.6976852416992,19.316520690918,1.61883461475372,0.00564495194703341,-7,0.00106000003870577,0.509999990463257,8.26900005340576,0.00209610420279205,0.150000005960464,-0.0900000035762787,-50,10,-0.310000002384186,129423.842960866,0,0,0,0.00802406575530767,0.00142604740135599,0.00312125270190051,0.387801034608345,2.22044604925031e-16,4.4923129543778e-14,0.004,0.448279883381924,0.00438872790366546,0.471409300473021,1
0,178.625,-16.9583333333333,1712,35.2385177612305,25.222412109375,28.8972759246826,3.67486262321472,0.148739442229271,25,0.0123020000755787,0.446000009775162,8.26900005340576,0.00212871795520186,0.0399999991059303,-0.150000005960464,-24,6,-0.170000001788139,130327.828383503,0,0.210526315789474,0.601735731496605,0.196966722607613,0.0416519375004331,0.0109984048723995,0.692297868033573,2.22044604925031e-16,4.4923129543778e-14,0.002,0.288480300187617,0.0142988199118833,0.745860177517285,3
0,178.791666666667,-16.9583333333333,1714,35.6610298156738,23.3226852416992,25.4023342132568,2.07965040206909,0.0559842959046364,207,0.0559759996831417,0.425000011920929,8.26799964904785,0.00211512437090278,0.0599999986588955,0.419999986886978,-22,2,-0.360000014305115,133883.444300809,0,0,0,0.0782031863927841,0.0146017247877055,0.0309899116224938,0.866135873276544,2.22044604925031e-16,4.4923129543778e-14,0.048,0.910720631786772,0.0162858219622135,0.770084662464969,3
0,178.875,-16.9583333333333,1715,35.375431060791,25.0011539459229,27.6775646209717,2.67640995979309,0.153728872537613,-2,0.000858000013977289,0.433999985456467,8.26799964904785,0.00219056312926114,0.0399999991059303,0.330000013113022,-42,7,-0.540000021457672,136489.266870492,0,0.210526315789474,0.57223449698019,0.44687208533287,0.223311000679912,0.0257819161676692,0.84262200337766,2.22044604925031e-16,4.4923129543778e-14,0.01,0.671441048034935,0.00321524313124858,0.394890221869581,2
0,178.958333333333,-16.9583333333333,1716,35.4920845031738,24.3382816314697,26.2977504730225,1.95946979522705,0.129860937595367,9,0.0166710000485182,0.898000001907349,8.26799964904785,0.00209504622034729,0.0700000002980232,-0.129999995231628,-33,5,-0.259999990463257,139608.120365292,4.01642360944385,0.105263157894737,0.530852088141682,0.351940214633942,0.251951705040093,0.0318986100839929,0.86955789249865,2.22044604925031e-16,4.4923129543778e-14,0.034,0.876860114055686,0.0263140018982148,0.845383447606069,2
0,179.041666666667,-16.9583333333333,1717,35.6579399108887,17.6464519500732,19.2629127502441,1.61646258831024,0.0993766114115715,46,0.000837000028695911,0.323000013828278,8.26799964904785,0.00201464351266623,0.209999993443489,0.209999993443489,-82,4,-0.349999994039536,143206.489080798,2.92489980139215,0,0.381212941423908,0.115567781031132,0.0542301003320125,0.0397374510824668,0.893301509611939,2.22044604925031e-16,4.4923129543778e-14,0.002,0.288480300187617,0.00177777349201769,0.264874637419166,5
0,179.125,-16.9583333333333,1718,34.5209350585938,3.35396933555603,3.51642513275146,0.162456020712852,0.0279088336974382,-55,9.10000017029233e-05,0.157000005245209,8.26700019836426,0.0018952745012939,0.579999983310699,0.75,-464,9,-0.439999997615814,147249.232335371,0.473725821806151,0,0.0196922445297448,0.0224911868572235,0.0106922998938752,0.00760668514155777,0.607958223157957,2.22044604925031e-16,4.4923129543778e-14,0.002,0.288480300187617,0.00119329655641059,0.194659735872352,4
0,179.208333333333,-16.9583333333333,1719,34.5768890380859,2.6031858921051,2.71233510971069,0.109149351716042,0.00659755198284984,-799,8.09999983175658e-05,0.137999996542931,8.26700019836426,0,0.439999997615814,0.449999988079071,-1227,16,-0.610000014305115,151700.818845116,0,0,0,0.00284714694134891,0.00106912500293321,0.000272568957272722,0.0522764667616819,1,1,0,0,0.00119329655641059,0.194659735872352,5
0,179.291666666667,-16.9583333333333,1720,34.5768928527832,2.60198903083801,2.71188974380493,0.109900571405888,0.00674738874658942,-1011,7.999999797903e-05,0.130999997258186,8.26700019836426,0,0.340000003576279,-0.109999999403954,-1199,16,-0.930000007152557,156526.35797025,0,0,0,0.00212035141885281,0.00116520448972235,0.000142923257989183,0.0281069195701511,2.22044604925031e-16,4.4923129543778e-14,0,0,0.00119329655641059,0.194659735872352,3
0,179.375,-16.9583333333333,1721,34.6035690307617,2.3090980052948,2.39607000350952,0.0869720280170441,0.0118464305996895,-1147,7.50000035623088e-05,0.123999997973442,8.26700019836426,0,0.330000013113022,0.819999992847443,-1441,17,-0.509999990463257,161692.396584488,0,0,0,0.00518696429207921,0.00302292423885264,0.00012831851293832,0.0253071141416106,1,1,0,0,0.00119329655641059,0.194659735872352,4
0,179.458333333333,-16.9583333333333,1722,34.6258659362793,2.16276049613953,2.2584285736084,0.0956681743264198,0.0155860902741551,-1680,7.89999976404943e-05,0.122000001370907,8.26700019836426,0,0.129999995231628,0.589999973773956,-1751,17,0.280000001192093,167167.34095048,0,0,0,0.0011041178368032,0.00026493888692769,7.97154636799153e-06,0.00161018567377521,1,1,0,0,0.00119329655641059,0.194659735872352,4
0,179.541666666667,-16.9583333333333,1723,34.6258659362793,2.16249394416809,2.25691723823547,0.0944233760237694,0.0211272090673447,-1443,7.89999976404943e-05,0.122000001370907,8.26599979400635,0,0.180000007152557,-0.689999997615814,-1713,18,-0.150000005960464,172921.878586687,0,0,0,0.000266768329311162,3.05607814541364e-05,1.57131632419401e-06,0.000317801572220964,1,1,0,0,0.00119329655641059,0.194659735872352,5
0,179.625,-16.9583333333333,1724,34.6034164428711,2.30856275558472,2.39475226402283,0.0861895829439163,0.0225083809345961,-846,7.5999996624887e-05,0.118000000715256,8.26599979400635,0,0.479999989271164,-0.699999988079071,-1330,18,-0.680000007152557,178929.009518957,0,0,0,0.000835796352475882,0.000172042308404285,2.38545087115568e-05,0.00480307799265632,1,1,0,0,0.00119329655641059,0.194659735872352,3
0,179.708333333333,-16.9583333333333,1725,34.6032257080078,2.45200443267822,2.53482866287231,0.08282420784235,0.0396933257579803,-840,7.40000032237731e-05,0.116999998688698,8.26599979400635,0,0.449999988079071,0.180000007152557,-1034,19,-0.889999985694885,185164.155650896,0,0,0,0.00607577199116349,0.00516313991911965,0.000656663390969261,0.117341245836251,2.22044604925031e-16,4.4923129543778e-14,0,0,0.00119329655641059,0.194659735872352,4
0,179.791666666667,-16.9583333333333,1726,34.6031761169434,2.30742263793945,2.39314103126526,0.0857184678316116,0.0502636022865772,-826,7.20000025467016e-05,0.120999999344349,8.26599979400635,0,0.509999990463257,-0.150000005960464,-1214,12,-0.689999997615814,191605.082635863,0,0,0,0.00574883027002215,0.00331448143042934,0.000287561432189112,0.0549945476923128,2.22044604925031e-16,4.4923129543778e-14,0,0,0.00119329655641059,0.194659735872352,2
0,179.875,-16.9583333333333,1727,34.5192260742188,3.03965353965759,3.18481397628784,0.145160317420959,0.0809174031019211,125,7.10000022081658e-05,0.0790000036358833,8.26599979400635,0.00171041279099882,0.819999992847443,-0.639999985694885,-325,4,-0.0599999986588955,198231.696755138,0,0,0.287719318578582,0.00578696792945266,0.00047234305743471,0.00481459222512074,0.494638226755734,1,1,0,0,0.00119329655641059,0.194659735872352,3
0,179.958333333333,-16.9583333333333,1728,35.7326316833496,21.6475372314453,23.632152557373,1.98461663722992,0.213407814502716,887,7.50000035623088e-05,0.136999994516373,8.26500034332275,0.00170792313292623,0.340000003576279,-0.0199999995529652,-96,1,-0.449999988079071,205026.011046226,0,0,0.585523178475072,0.351540505886078,0.591105646443501,0.0869569770382224,0.950661824558333,1,1,0.02,0.805026178010471,0.011364620886452,0.69930894892555,3
0,176.041666666667,-17.0416666666667,1729,34.6831893920898,1.5136626958847,1.52854311466217,0.0148803759366274,0.0518257319927216,-2327,5.09999990754295e-05,0.0520000010728836,8.27700042724609,0,0.660000026226044,0.689999997615814,-2677,94,-0.140000000596046,283161.660127315,0,0,0,1.60247441272077e-06,8.10524839467419e-07,4.86999889878259e-11,9.85277662283435e-09,1,1,0,0,0.00119329655641059,0.194659735872352,5
0,176.125,-17.0416666666667,1730,34.6831512451172,1.51420605182648,1.52905583381653,0.0148498015478253,0.0348880849778652,-2748,5.2999999752501e-05,0.0529999993741512,8.27700042724609,0,0.409999996423721,-0.589999973773956,-3081,85,0.109999999403954,275173.69104997,0,0,0,1.17752122719139e-07,2.00574954423161e-08,8.63179641955327e-13,1.74634870689458e-10,2.22044604925031e-16,4.4923129543778e-14,0,0,0.00119329655641059,0.194659735872352,3
0,176.208333333333,-17.0416666666667,1731,34.665828704834,1.62327575683594,1.69250512123108,0.0692293867468834,0.0439971201121807,-2444,5.2999999752501e-05,0.0540000014007092,8.27600002288818,0,0.219999998807907,-0.560000002384186,-2593,76,-0.0599999986588955,267239.722008289,0,0,0,8.78959269812185e-07,1.15339799933167e-07,3.67134815698734e-11,7.42771695323821e-09,2.22044604925031e-16,4.4923129543778e-14,0,0,0.00119329655641059,0.194659735872352,5
0,176.291666666667,-17.0416666666667,1732,34.6567802429199,1.73985624313354,1.8003306388855,0.0604743286967278,0.0880047604441643,-2504,5.2999999752501e-05,0.0540000014007092,8.27600002288818,0,0.0799999982118607,0.689999997615814,-2567,66,0.200000002980232,259364.753007369,0,0,0,3.45633088727482e-05,1.59118485152376e-05,1.11503085258094e-09,2.25588296588875e-07,1,1,0,0,0.00119329655641059,0.194659735872352,2
0,176.375,-17.0416666666667,1733,34.665828704834,1.6177886724472,1.68506753444672,0.0672787800431252,0.072119727730751,-2616,5.2999999752501e-05,0.0540000014007092,8.27600002288818,0,0.140000000596046,0.509999990463257,-2693,57,-0.189999997615814,251554.28405579,0,0,0,2.38848715525819e-05,9.03516968508988e-06,1.20873416761609e-09,2.44545947877922e-07,1,1,0,0,0.00119329655641059,0.194659735872352,3
0,176.458333333333,-17.0416666666667,1734,34.6659393310547,1.51031970977783,1.54805505275726,0.0377353020012379,0.0416178293526173,-2208,5.2999999752501e-05,0.0549999997019768,8.27499961853027,0,0.280000001192093,-0.469999998807907,-2641,48,-0.740000009536743,243814.533912136,0,0,0,1.48322969835135e-05,5.07799664284381e-06,9.66825331326475e-10,1.95603992118658e-07,1,1,0,0,0.00119329655641059,0.194659735872352,1
