"pointid","grid_code","PRESENCE","Longitude","Latitude"
"203","1","1",179.345064663946,-16.303229751702
"204","1","1",179.825064663946,-16.303229751702
"205","1","1",-179.264935336054,-16.313229751702
"206","1","1",-179.254935336054,-16.313229751702
"207","1","1",178.755064663946,-16.313229751702
"208","1","1",178.785064663946,-16.313229751702
"209","1","1",178.795064663946,-16.313229751702
"210","1","1",178.805064663946,-16.313229751702
"211","1","1",178.815064663946,-16.313229751702
"212","1","1",178.825064663946,-16.313229751702
"213","1","1",178.835064663946,-16.313229751702
"214","1","1",178.845064663946,-16.313229751702
"215","1","1",178.855064663946,-16.313229751702
"216","1","1",178.865064663946,-16.313229751702
"217","1","1",178.875064663946,-16.313229751702
"218","1","1",178.885064663946,-16.313229751702
"219","1","1",178.895064663946,-16.313229751702
"220","1","1",178.975064663946,-16.313229751702
"221","1","1",178.985064663946,-16.313229751702
"222","1","1",178.995064663946,-16.313229751702
"223","1","1",179.025064663946,-16.313229751702
"224","1","1",179.195064663946,-16.313229751702
"225","1","1",179.215064663946,-16.313229751702
"226","1","1",179.225064663946,-16.313229751702
"227","1","1",179.275064663946,-16.313229751702
"228","1","1",179.335064663946,-16.313229751702
"229","1","1",179.825064663946,-16.313229751702
"230","1","1",-179.264935336054,-16.323229751702
"231","1","1",178.835064663946,-16.323229751702
"232","1","1",178.905064663946,-16.323229751702
"233","1","1",178.915064663946,-16.323229751702
"234","1","1",178.945064663946,-16.323229751702
"235","1","1",178.955064663946,-16.323229751702
"236","1","1",179.145064663946,-16.323229751702
"237","1","1",179.265064663946,-16.323229751702
"238","1","1",179.275064663946,-16.323229751702
"239","1","1",179.315064663946,-16.323229751702
"240","1","1",-179.414935336054,-16.333229751702
"241","1","1",-179.404935336054,-16.333229751702
"242","1","1",179.145064663946,-16.333229751702
"243","1","1",179.155064663946,-16.333229751702
"244","1","1",179.165064663946,-16.333229751702
"245","1","1",179.175064663946,-16.333229751702
"246","1","1",179.205064663946,-16.333229751702
"247","1","1",179.225064663946,-16.333229751702
"248","1","1",-179.394935336054,-16.343229751702
"249","1","1",179.145064663946,-16.343229751702
"250","1","1",179.155064663946,-16.343229751702
"251","1","1",179.165064663946,-16.343229751702
"252","1","1",179.175064663946,-16.343229751702
"253","1","1",179.185064663946,-16.343229751702
"254","1","1",179.195064663946,-16.343229751702
"255","1","1",179.205064663946,-16.343229751702
"256","1","1",179.235064663946,-16.343229751702
"257","1","1",179.245064663946,-16.343229751702
"258","1","1",-179.394935336054,-16.353229751702
"259","1","1",179.105064663946,-16.353229751702
"260","1","1",179.155064663946,-16.353229751702
"261","1","1",179.165064663946,-16.353229751702
"262","1","1",179.175064663946,-16.353229751702
"263","1","1",179.215064663946,-16.353229751702
"264","1","1",179.805064663946,-16.353229751702
"265","1","1",-179.404935336054,-16.363229751702
"266","1","1",179.175064663946,-16.363229751702
"267","1","1",179.185064663946,-16.363229751702
"268","1","1",179.195064663946,-16.363229751702
"269","1","1",179.205064663946,-16.363229751702
"270","1","1",179.215064663946,-16.363229751702
"271","1","1",179.225064663946,-16.363229751702
"272","1","1",-179.844935336054,-16.373229751702
"273","1","1",179.215064663946,-16.373229751702
"274","1","1",179.005064663946,-16.383229751702
"275","1","1",-179.844935336054,-16.393229751702
"276","1","1",179.775064663946,-16.393229751702
"277","1","1",-179.844935336054,-16.403229751702
"278","1","1",179.045064663946,-16.403229751702
