"presence","x","y","cells","BO2_salinitymean_bdmax","BO2_tempmin_bdmax","BO2_tempmax_bdmax","BO2_temprange_bdmax","BO21_curvelmax_bdmax","BO_bathymax","MS_biogeo06_bathy_slope_5m","MS_biogeo01_aspect_EW_5m","MS_bathy_5m","MS_biogeo05_dist_shore_5m","MS_biogeo02_aspect_NS_5m","Dist_City","Protected_Areas"
0,177.041666666667,-19.9583333333333,3421,34.6716728210449,1.64962267875671,1.67503845691681,0.0254157241433859,0.0345709212124348,-2162,0.300000011920929,0.310000002384186,-2509,138,0.839999973773956,251831.78408093,0
0,177.125,-19.9583333333333,3422,34.6610107421875,1.6583594083786,1.71223211288452,0.0538727305829525,0.0357887595891953,-2253,0.170000001788139,-0.400000005960464,-2571,131,0.259999990463257,246739.132366248,0
0,177.208333333333,-19.9583333333333,3423,34.6610069274902,1.79792785644531,1.91892433166504,0.12099651247263,0.040638979524374,-2021,0.209999993443489,-0.660000026226044,-2362,125,-0.46000000834465,241857.449621116,0
0,177.291666666667,-19.9583333333333,3424,34.6392593383789,1.93450236320496,2.07717156410217,0.142669230699539,0.0686255916953087,-1583,0.239999994635582,-0.5,-2169,119,-0.550000011920929,237199.79834463,0
0,177.375,-19.9583333333333,3425,34.6110420227051,2.24437665939331,2.39488506317139,0.150508344173431,0.0718916654586792,-1185,0.449999988079071,-0.0399999991059303,-2051,113,-0.790000021457672,232779.584786016,0
0,177.458333333333,-19.9583333333333,3426,34.6392593383789,2.08645415306091,2.23081064224243,0.14435650408268,0.0644932836294174,-1132,0.800000011920929,-0.170000001788139,-2049,107,-0.119999997317791,228610.590191059,0
0,177.541666666667,-19.9583333333333,3427,34.6609268188477,1.6419849395752,1.70521771907806,0.0632327124476433,0.0767826586961746,-1828,0.379999995231628,0.389999985694885,-2014,103,-0.259999990463257,224706.814551639,0
0,177.625,-19.9583333333333,3428,34.6827774047852,1.56609296798706,1.57772386074066,0.0116308573633432,0.00969356764107943,-2073,0.790000021457672,0.409999996423721,-2545,99,-0.870000004768372,221082.320355546,0
0,177.708333333333,-19.9583333333333,3429,34.6841316223145,1.54819893836975,1.55757641792297,0.00937755685299635,0.0150526240468025,-2101,0.970000028610229,0.349999994039536,-3004,95,-0.870000004768372,217751.013839816,0
0,177.791666666667,-19.9583333333333,3430,34.6841316223145,1.53907179832458,1.54868745803833,0.00961556937545538,0.0353165417909622,-2820,0.560000002384186,0.170000001788139,-3493,92,-0.910000026226044,214726.582483668,0
0,177.875,-19.9583333333333,3431,34.6841278076172,1.53901183605194,1.54863739013672,0.00962556805461645,0.0364940613508224,-2084,0.860000014305115,-0.709999978542328,-2998,90,-0.610000014305115,212022.120015804,0
0,177.958333333333,-19.9583333333333,3432,34.676586151123,1.58408999443054,1.59571349620819,0.0116234589368105,0.0218156799674034,-2094,0.579999983310699,0.280000001192093,-2488,88,-0.540000021457672,209650.048283278,0
0,178.041666666667,-19.9583333333333,3433,34.6766548156738,1.58988392353058,1.60825729370117,0.0183733850717545,0.0268843714147806,-2535,0.360000014305115,-0.189999997615814,-2797,87,0.200000002980232,207621.742256026,0
0,178.125,-19.9583333333333,3434,34.6766586303711,1.60652506351471,1.63742434978485,0.0308992471545935,0.0533575862646103,-2262,0.490000009536743,-0.170000001788139,-2508,87,0.0599999986588955,205947.358150799,0
0,178.208333333333,-19.9583333333333,3435,34.6840553283691,1.55878734588623,1.56646132469177,0.00767394714057446,0.0241471845656633,-2431,0.759999990463257,0.569999992847443,-2891,87,-0.660000026226044,204635.599055894,0
0,178.291666666667,-19.9583333333333,3436,34.6840553283691,1.53911566734314,1.54872357845306,0.00960780028253794,0.029633330181241,-2663,0.759999990463257,0.540000021457672,-3629,89,-0.649999976158142,203693.449309663,0
0,178.375,-19.9583333333333,3437,34.6840553283691,1.53901493549347,1.5486398935318,0.00962495338171721,0.030013820156455,-3610,0.310000002384186,0.0500000007450581,-4039,92,-0.219999998807907,203126.065123497,0
0,178.458333333333,-19.9583333333333,3438,34.6840553283691,1.54055321216583,1.54988169670105,0.00932845287024975,0.0296879690140486,-3552,0.259999990463257,-0.800000011920929,-3887,95,0.0399999991059303,202936.587084844,0
0,178.541666666667,-19.9583333333333,3439,34.6840553283691,1.54914605617523,1.55806577205658,0.00891972705721855,0.030883114784956,-3336,0.270000010728836,-0.740000009536743,-3560,99,0.629999995231628,203126.077657321,0
