"presence","x","y","cells","BO2_salinitymean_bdmax","BO2_tempmin_bdmax","BO2_tempmax_bdmax","BO2_temprange_bdmax","BO21_curvelmax_bdmax","BO_bathymax","MS_biogeo06_bathy_slope_5m","MS_biogeo01_aspect_EW_5m","MS_bathy_5m","MS_biogeo05_dist_shore_5m","MS_biogeo02_aspect_NS_5m","Protected_Areas"
0,149.875,-18.9583333333333,5183,34.5541687011719,6.72894144058228,7.53016710281372,0.801225364208221,0.225944772362709,-526,0.0599999986588955,0.340000003576279,-580,159,0.910000026226044,4
0,149.958333333333,-18.9583333333333,5184,34.4570465087891,6.0512261390686,6.7495813369751,0.698355078697205,0.271763563156128,-544,0.0799999982118607,0.5,-620,166,0.839999973773956,4
0,146.375,-19.0416666666667,5213,35.0598068237305,21.4030799865723,29.6736621856689,8.270583152771,0.289855569601059,578,0.00999999977648258,0.850000023841858,-3,1,0.419999986886978,NA
0,146.458333333333,-19.0416666666667,5214,35.0784950256348,21.4874610900879,29.6291751861572,8.14171504974365,0.244761481881142,197,0,0.5,-4,4,0.689999997615814,5
0,146.541666666667,-19.0416666666667,5215,35.0828247070312,21.5244274139404,29.6244430541992,8.10001468658447,0.221826940774918,-1,0.00999999977648258,0.370000004768372,-8,6,0.680000007152557,5
0,146.625,-19.0416666666667,5216,35.1265869140625,22.0040168762207,29.5100402832031,7.50602293014526,0.192519247531891,30,0.00999999977648258,0.180000007152557,-10,4,0.449999988079071,5
0,146.708333333333,-19.0416666666667,5217,35.1296844482422,21.8410491943359,29.5625095367432,7.7214617729187,0.201198428869247,-10,0.00999999977648258,0.259999990463257,-14,10,0.769999980926514,5
0,146.791666666667,-19.0416666666667,5218,35.1523246765137,22.0087413787842,29.465913772583,7.45717191696167,0.208737686276436,-11,0.00999999977648258,0.479999989271164,-17,9,0.769999980926514,5
0,146.875,-19.0416666666667,5219,35.130199432373,22.1762294769287,29.3039894104004,7.12776041030884,0.198711022734642,-16,0.00999999977648258,0.280000001192093,-22,8,0.629999995231628,5
0,146.958333333333,-19.0416666666667,5220,35.1420249938965,22.2662353515625,29.1601009368896,6.89386653900146,0.206414356827736,-19,0,0.230000004172325,-22,12,0.270000010728836,5
0,147.041666666667,-19.0416666666667,5221,35.1177978515625,22.1981582641602,29.1802749633789,6.98211574554443,0.200262829661369,-22,0,0.25,-23,17,0.610000014305115,5
0,147.125,-19.0416666666667,5222,35.1187629699707,22.2754058837891,29.1463165283203,6.87090921401978,0.216504767537117,-24,0,0.0700000002980232,-24,21,0.879999995231628,5
0,147.208333333333,-19.0416666666667,5223,35.1239395141602,22.3332405090332,28.9551124572754,6.62187147140503,0.200784891843796,-25,0,0.180000007152557,-26,27,0.860000014305115,5
0,147.291666666667,-19.0416666666667,5224,35.1228103637695,22.3648338317871,28.8187007904053,6.45386600494385,0.234529137611389,-27,0.00999999977648258,0.319999992847443,-28,31,0.740000009536743,5
0,147.375,-19.0416666666667,5225,35.1252822875977,22.5097846984863,28.5801105499268,6.07032585144043,0.230114042758942,-28,0.00999999977648258,0.550000011920929,-33,29,0.490000009536743,5
0,147.458333333333,-19.0416666666667,5226,35.1690788269043,22.4426116943359,28.6091156005859,6.16650438308716,0.217348366975784,-34,0.00999999977648258,0.209999993443489,-35,30,0.589999973773956,5
0,147.541666666667,-19.0416666666667,5227,35.170597076416,22.4364376068115,28.5087432861328,6.07230663299561,0.231932505965233,-37,0.0199999995529652,-0.239999994635582,-29,33,0.0700000002980232,5
