"presence","x","y","cells","BO2_salinitymean_bdmax","BO2_tempmin_bdmax","BO2_tempmax_bdmax","BO2_temprange_bdmax","BO21_curvelmax_bdmax","MS_biogeo06_bathy_slope_5m","MS_biogeo01_aspect_EW_5m","MS_biogeo05_dist_shore_5m","MS_biogeo02_aspect_NS_5m","BO_bathymax","MS_bathy_5m","Protected_Areas"
0,145.708333333333,-13.375,309,34.7134628295898,1.66502213478088,1.69220018386841,0.027178006246686,0.0759628862142563,0.0700000002980232,-0.430000007152557,145,0.569999992847443,-3031,-3103,4
0,145.791666666667,-13.375,310,34.7132797241211,1.69632434844971,1.71570003032684,0.0193757228553295,0.0741861388087273,0.0799999982118607,0.129999995231628,147,-0.370000004768372,-3018,-3120,4
0,145.875,-13.375,311,34.7132797241211,1.69611918926239,1.71568691730499,0.0195676870644093,0.0643714070320129,0.400000005960464,-0.920000016689301,150,0.159999996423721,-2900,-2814,4
0,145.958333333333,-13.375,312,34.7132797241211,1.69600188732147,1.71561801433563,0.019616199657321,0.096829354763031,0.400000005960464,0.170000001788139,153,0.540000021457672,-2372,-2436,4
0,146.041666666667,-13.375,313,34.713020324707,1.69600188732147,1.71561813354492,0.0196161828935146,0.117202579975128,0.280000001192093,0.379999995231628,156,0.469999998807907,-2469,-2815,4
0,146.125,-13.375,314,34.7127952575684,1.69555771350861,1.71558523178101,0.0200275294482708,0.122807718813419,0.259999990463257,-0.759999990463257,160,0.239999994635582,-2767,-2635,4
0,146.208333333333,-13.375,315,34.712532043457,1.6950900554657,1.71526300907135,0.0201728921383619,0.080242857336998,0.300000011920929,0.910000026226044,165,0.100000001490116,-2565,-2695,4
0,146.291666666667,-13.375,316,34.7121963500977,1.6950900554657,1.71526300907135,0.0201729200780392,0.0755354538559914,0.180000007152557,0.28999999165535,170,0.360000014305115,-2837,-3080,4
0,146.375,-13.375,317,34.7113838195801,1.71217560768127,1.73784303665161,0.0256673879921436,0.0839117914438248,0.189999997615814,-0.649999976158142,175,0.409999996423721,-2736,-2923,4
0,146.458333333333,-13.375,318,34.7113838195801,1.71209061145782,1.73795807361603,0.0258675273507833,0.0744136571884155,0.109999999403954,-0.0700000002980232,180,-0.490000009536743,-2605,-2852,4
